"","obsID","predicted_prob","predicted_prob_lower","predicted_prob_upper","Policy","cost_con","when_1","when_2","when_3","how_1","how_2","how_3","type_1","type_2","type_3","type_4","edu_1","edu_2","edu_3","clin_1","clin_2","clin_3","wait_1","wait_2","wait_3","asc"
"3.51",18,0.126248935240338,0.107117589724039,0.148244701083284,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.6",19,0.824118362154553,0.798540367921714,0.847492618359935,1,180,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.61",19,0.175881637845447,0.152507381640065,0.201459632078286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.6",20,0.853698491433093,0.829953336556431,0.8743977300281,2,180,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.61",20,0.146301508566907,0.125602269971901,0.170046663443569,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.6",21,0.869779122015342,0.847401532363965,0.889065437135493,3,180,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.61",21,0.130220877984658,0.110934562864507,0.152598467636035,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.7",22,0.819091315791173,0.792977075485968,0.842854132549115,1,210,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.71",22,0.180908684208827,0.157145867450885,0.207022924514032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.7",23,0.849198007180355,0.824976834218733,0.870209699837443,2,210,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.71",23,0.150801992819645,0.129790300162557,0.175023165781267,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.7",24,0.865663367232443,0.843079919648035,0.885232905864803,3,210,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.71",24,0.134336632767557,0.114767094135197,0.156920080351965,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.8",25,0.813897937373823,0.786981344858728,0.838202759886716,1,240,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.81",25,0.186102062626177,0.161797240113284,0.213018655141272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.8",26,0.844519992018448,0.819882396896564,0.865933123111054,2,240,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.81",26,0.155480007981552,0.134066876888946,0.180117603103436,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.8",27,0.861401868277603,0.838450380837893,0.8812236904455,3,240,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.81",27,0.138598131722397,0.1187763095545,0.161549619162107,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.9",28,0.80854917780883,0.780917123054944,0.83340062510561,1,270,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.91",28,0.191450822191171,0.16659937489439,0.219082876945056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.9",29,0.839666028536966,0.814463337992537,0.861347533665887,2,270,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.91",29,0.160333971463034,0.138652466334113,0.185536662007463,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.9",30,0.856993091389826,0.833726248111777,0.877203452828443,3,270,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.91",30,0.143006908610174,0.122796547171557,0.166273751888223,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.10",31,0.803058329502834,0.774815630040154,0.828400326161807,1,300,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.101",31,0.196941670497166,0.171599673838193,0.225184369959846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.10",32,0.834641409360736,0.808991232203693,0.856656552131841,2,300,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.101",32,0.165358590639264,0.143343447868158,0.191008767796307,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.10",33,0.852436415344142,0.828756102302826,0.873040898461849,3,300,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.101",33,0.147563584655858,0.126959101538151,0.171243897697174,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.11",34,0.797439036757637,0.768313749348497,0.823278570416836,1,330,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.111",34,0.202560963242363,0.176721429583164,0.231686250651503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.11",35,0.829455578849156,0.803240309592709,0.851857686545056,2,330,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.111",35,0.170544421150844,0.148142313454944,0.196759690407291,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.11",36,0.84773243577377,0.823511537409637,0.86867955860823,3,330,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.111",36,0.15226756422623,0.13132044139177,0.176488462590363,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.12",37,0.791703037630179,0.761821926542551,0.817985434529511,1,360,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.121",37,0.208296962369821,0.182014565470489,0.238178073457449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.12",38,0.824121022251093,0.797339844642196,0.846902921963321,2,360,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.121",38,0.175878977748907,0.153097078036679,0.202660155357804,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.12",39,0.842882616780166,0.818045779683139,0.864160675036772,3,360,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.121",39,0.157117383219834,0.135839324963228,0.181954220316861,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.13",40,0.785858386219019,0.755373285841938,0.812842232049057,1,390,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.131",40,0.214141613780981,0.187157767950943,0.244626714158062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.13",41,0.818651097446737,0.791209454355672,0.841857144785985,2,390,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.131",41,0.181348902553263,0.158142855214015,0.208790545644328,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.13",42,0.837888385997095,0.812411323464799,0.859623503376055,3,390,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.131",42,0.162111614002905,0.140376496623946,0.187588676535201,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.14",43,0.77990878730033,0.748686434333875,0.807484923627765,1,420,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.141",43,0.220091212699671,0.192515076372235,0.251313565666125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.14",44,0.813057789854589,0.78486105660728,0.836684944358455,2,420,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.141",44,0.186942210145411,0.163315055641545,0.21513894339272,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.14",45,0.832750420680812,0.806684070200726,0.854987443586534,3,420,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.141",45,0.167249579319188,0.145012556413466,0.193315929799274,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.15",46,0.773854451460215,0.74188266252004,0.801900139938982,1,450,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.151",46,0.226145548539785,0.198099860061018,0.25811733747996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.15",47,0.807350126900498,0.778604890073645,0.831624256708916,2,450,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.151",47,0.192649873099502,0.168375743291084,0.221395109926355,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.15",48,0.827468884185502,0.800655135095308,0.850042050837868,3,450,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.151",48,0.172531115814498,0.149957949162132,0.199344864904692,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.16",49,0.767694452571773,0.735020319477698,0.796361090950375,1,480,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.161",49,0.232305547428227,0.203638909049625,0.264979680522302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.16",50,0.801533535056464,0.772050868780358,0.82626369207491,2,480,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
