"","obsID","predicted_prob","predicted_prob_lower","predicted_prob_upper","Policy","cost_con","when_1","when_2","when_3","how_1","how_2","how_3","type_1","type_2","type_3","type_4","edu_1","edu_2","edu_3","clin_1","clin_2","clin_3","wait_1","wait_2","wait_3","asc"
"3.291",90,0.256608610833327,0.225402268843473,0.293296797455317,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.30",91,0.676166228295521,0.632304387582738,0.713706313140528,1,900,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.301",91,0.323833771704479,0.286293686859472,0.367695612417262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.30",92,0.711682754186561,0.670855667720627,0.746274578969987,2,900,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.301",92,0.288317245813439,0.253725421030013,0.329144332279373,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.30",93,0.737154935593421,0.699499022382381,0.769022085993943,3,900,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.301",93,0.262845064406579,0.230977914006057,0.300500977617619,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.31",94,0.66964848257869,0.624916189061762,0.707906450238218,1,930,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.311",94,0.33035151742131,0.292093549761782,0.375083810938238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.31",95,0.705063483418678,0.663583172258836,0.740172578459747,2,930,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.311",95,0.294936516581322,0.259827421540253,0.336416827741164,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.31",96,0.730916263414495,0.692288106628524,0.763339708514987,3,930,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.311",96,0.269083736585504,0.236660291485013,0.307711893371476,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.32",97,0.663140835954205,0.61792984132336,0.702150746713618,1,960,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.321",97,0.336859164045795,0.297849253286383,0.38207015867664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.32",98,0.698462563888574,0.65631343907273,0.734245939215804,2,960,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.321",98,0.301537436111426,0.265754060784196,0.34368656092727,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.32",99,0.724670767564794,0.685232050882377,0.757704114606092,3,960,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.321",99,0.275329232435206,0.242295885393908,0.314767949117623,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.33",100,0.656642708895014,0.610864575381691,0.696335286231221,1,990,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.331",100,0.343357291104986,0.303664713768779,0.389135424618309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.33",101,0.691883604584407,0.649228240127259,0.728408774461568,2,990,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.331",101,0.308116395415593,0.271591225538432,0.350771759872741,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.33",102,0.718411234289692,0.67807113553079,0.752017044114183,3,990,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.331",102,0.281588765710308,0.247982955885816,0.32192886446921,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.34",103,0.650157168030886,0.6038960695174,0.69043853624436,1,1020,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.341",103,0.349842831969114,0.30956146375564,0.3961039304826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.34",104,0.685330217168922,0.642201287094252,0.72262636768117,2,1020,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.341",104,0.314669782831078,0.27737363231883,0.357798712905748,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.34",105,0.712128876073907,0.670819101223185,0.746388716961768,3,1020,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.341",105,0.287871123926093,0.253611283038232,0.329180898776815,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.35",106,0.643691004312873,0.596897949881175,0.684657782310136,1,1050,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.351",106,0.356308995687127,0.315342217689864,0.403102050118825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.35",107,0.678806664963662,0.635140870330631,0.716801932958554,2,1050,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.351",107,0.321193335036338,0.283198067041446,0.364859129669369,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.35",108,0.705815480065303,0.663577132223302,0.740895441725112,3,1050,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.351",108,0.294184519934697,0.259104558274888,0.336422867776698,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.36",109,0.637254175657745,0.590002414507451,0.67884531471969,1,1080,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.361",109,0.362745824342255,0.32115468528031,0.409997585492549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.36",110,0.672318320759997,0.628052405827072,0.711070268697765,2,1080,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.361",110,0.327681679240003,0.288929731302235,0.371947594172928,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.36",111,0.699466012604628,0.656494650966922,0.735205949694083,3,1080,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.361",111,0.300533987395372,0.264794050305917,0.343505349033078,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.37",112,0.630858941144954,0.583251602452242,0.673021797267469,1,1110,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.371",112,0.369141058855046,0.326978202732531,0.416748397547758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.37",113,0.665871831071825,0.621094866612443,0.705095464617057,2,1110,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.371",113,0.334128168928175,0.294904535382943,0.378905133387557,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.37",114,0.693080860342958,0.649323395961352,0.729579690287123,3,1110,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.371",114,0.306919139657042,0.270420309712877,0.350676604038647,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.38",115,0.624518942112267,0.576636580951939,0.667221212709047,1,1140,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.381",115,0.375481057887733,0.332778787290953,0.423363419048061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.38",116,0.659474983109694,0.614227691368851,0.699282102681556,2,1140,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.381",116,0.340525016890306,0.300717897318445,0.385772308631149,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.38",117,0.68666708676004,0.642186452910766,0.724096435542052,3,1140,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.381",117,0.31333291323996,0.275903564457948,0.357813547089234,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.39",118,0.618248318184229,0.570068587766105,0.661585772574932,1,1170,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.391",118,0.381751681815771,0.338414227425068,0.429931412233895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.39",119,0.653136320201788,0.607569519203235,0.693512443727204,2,1170,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.391",119,0.346863679798212,0.306487556272796,0.392430480796765,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.39",120,0.680238440806214,0.63517842441976,0.718393618414562,3,1170,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.391",120,0.319761559193786,0.281606381585438,0.36482157558024,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.40",121,0.612060835440533,0.563650355124538,0.655987468323388,1,1200,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.401",121,0.387939164559467,0.344012531676612,0.436349644875462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.40",122,0.646864557118465,0.601112908774438,0.687674979717978,2,1200,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.401",122,0.353135442881535,0.312325020282022,0.398887091225562,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.40",123,0.673814217769326,0.628292498263661,0.712970304333446,3,1200,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.401",123,0.326185782230674,0.287029695666554,0.371707501736339,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
