"","Policy","predicted_prob","predicted_prob_lower","predicted_prob_upper"
"1",1,0.149880652857473,0.121607480553599,0.184776978058252
"2",2,0.227977051924925,0.19890884772165,0.259533065745503
"3",3,0.227798141687794,0.194276133246567,0.261752120223854
"4",4,0.327279644812106,0.284318351383307,0.367004269908228
"5",5,0.0670645087177025,0.0523828982137507,0.0826025631686974
