"","Policy","predicted_uptake","predicted_uptake_lower","predicted_uptake_upper","WTP","Estimated_eligible_population","Budget_impact","Budget_impact_low","Budget_impact_high"
"1.31",1,0.155248681630329,0.125126584788404,0.190846939956622,310,NA,NA,NA,NA
"2.31",2,0.284264363080564,0.251682125947755,0.322125546953659,310,NA,NA,NA,NA
"3.31",3,0.447773882597938,0.399240866168773,0.490655198501944,310,NA,NA,NA,NA
"...128",4,0.112713072691168,0.0950916565463552,0.130644549750278,0,NA,NA,NA,NA
"1.32",1,0.155002023390776,0.124966909178143,0.190526986070079,320,NA,NA,NA,NA
"2.32",2,0.283790068601711,0.251272015680336,0.321644429974892,320,NA,NA,NA,NA
"3.32",3,0.447122767844882,0.398703543146442,0.489938992596765,320,NA,NA,NA,NA
"...132",4,0.114085140162631,0.0963635458637264,0.132179248078686,0,NA,NA,NA,NA
"1.33",1,0.154751826608884,0.12475471849687,0.190217725571737,330,NA,NA,NA,NA
"2.33",2,0.283309315170632,0.250871027499943,0.321101098461416,330,NA,NA,NA,NA
"3.33",3,0.446462334521001,0.39813647632705,0.489179960513535,330,NA,NA,NA,NA
"...136",4,0.115476523699482,0.0976161409110543,0.133727035518416,0,NA,NA,NA,NA
"1.34",1,0.154498090548903,0.124528153296032,0.189897358145135,340,NA,NA,NA,NA
"2.34",2,0.282822122073557,0.250460330402534,0.320614223544533,340,NA,NA,NA,NA
"3.34",3,0.445792512700378,0.397561863374751,0.488452252941732,340,NA,NA,NA,NA
"...140",4,0.116887274677162,0.0988661661988941,0.135274812361327,0,NA,NA,NA,NA
"1.35",1,0.154240823421696,0.124311050562954,0.189548682446354,350,NA,NA,NA,NA
"2.35",2,0.282328525415899,0.25005263380926,0.320069844839064,350,NA,NA,NA,NA
"3.35",3,0.445113245185068,0.396961005972783,0.487721908921063,350,NA,NA,NA,NA
"...144",4,0.118317405977338,0.100165943875748,0.136849276237635,0,NA,NA,NA,NA
"1.36",1,0.15398004307493,0.124093944513136,0.189201004714482,360,NA,NA,NA,NA
"2.36",2,0.281828579133006,0.249635252067539,0.319519380951268,360,NA,NA,NA,NA
"3.36",3,0.444424489416574,0.396301197597059,0.486960514309327,360,NA,NA,NA,NA
"...148",4,0.119766888375489,0.101518333979026,0.13837995553076,0,NA,NA,NA,NA
"1.37",1,0.153715777299768,0.123859229613628,0.188871124254523,370,NA,NA,NA,NA
"2.37",2,0.281322355220617,0.249162544668517,0.318934459857873,370,NA,NA,NA,NA
"3.37",3,0.443726218760802,0.395616999672266,0.486197208386946,370,NA,NA,NA,NA
"...152",4,0.121235648718812,0.102905948574709,0.139956257606075,0,NA,NA,NA,NA
"1.38",1,0.153448063700447,0.123634116331787,0.188538571493644,380,NA,NA,NA,NA
"2.38",2,0.280809943107601,0.248671269073555,0.31835950476909,380,NA,NA,NA,NA
"3.38",3,0.443018423055341,0.394954764853708,0.485466530857782,380,NA,NA,NA,NA
"...156",4,0.122723570136611,0.104264338537849,0.141647725778855,0,NA,NA,NA,NA
"1.39",1,0.153176949106311,0.123400091686944,0.18820965194035,390,NA,NA,NA,NA
"2.39",2,0.280291448160296,0.248220182150245,0.317833268439693,390,NA,NA,NA,NA
"3.39",3,0.442301108381259,0.394304866532887,0.484601406902349,390,NA,NA,NA,NA
"...160",4,0.124230494352135,0.105602481920179,0.143313231646012,0,NA,NA,NA,NA
"1.40",1,0.152902488542453,0.12316338788672,0.187897693001928,400,NA,NA,NA,NA
"2.40",2,0.27976698937832,0.247732028553449,0.317266017345552,400,NA,NA,NA,NA
"3.40",3,0.441574296100259,0.393645079491422,0.483786525009858,400,NA,NA,NA,NA
"...164",4,0.125756225978968,0.107006016822908,0.145069747596945,0,NA,NA,NA,NA
"1.41",1,0.152624743810904,0.122948217778063,0.187537005719933,410,NA,NA,NA,NA
"2.41",2,0.279236696407978,0.247218365048231,0.316681515291751,410,NA,NA,NA,NA
"3.41",3,0.440838021271613,0.392998824930976,0.482972871975872,410,NA,NA,NA,NA
"...168",4,0.127300538509506,0.108377359599537,0.146782232167484,0,NA,NA,NA,NA
"1.42",1,0.152343781765287,0.122742796021849,0.18720354714152,420,NA,NA,NA,NA
"2.42",2,0.278700706053469,0.246691558275112,0.316097827370116,420,NA,NA,NA,NA
"3.42",3,0.440092330621646,0.392379893438892,0.482252749103423,420,NA,NA,NA,NA
"...172",4,0.128863181559597,0.109793208576954,0.148462354383945,0,NA,NA,NA,NA
"1.43",1,0.152059672384566,0.122535677630925,0.186852324133083,430,NA,NA,NA,NA
"2.43",2,0.278159158501947,0.246150632486775,0.315518130128153,430,NA,NA,NA,NA
"3.43",3,0.439337280274424,0.391578410354853,0.481461157184255,430,NA,NA,NA,NA
"...176",4,0.130443888839063,0.111238537143847,0.150222411100778,0,NA,NA,NA,NA
"1.44",1,0.151772486763856,0.122292741826596,0.186498030116791,440,NA,NA,NA,NA
"2.44",2,0.277612193492783,0.245581226158117,0.314914389082631,440,NA,NA,NA,NA
"3.44",3,0.438572933461483,0.390892665664307,0.480618893938994,440,NA,NA,NA,NA
"...180",4,0.132042386281878,0.112723553193008,0.151974756684016,0,NA,NA,NA,NA
"1.45",1,0.151482295141686,0.122018669296973,0.186140747087511,450,NA,NA,NA,NA
"2.45",2,0.277059946653895,0.245063175033739,0.314365148529623,450,NA,NA,NA,NA
"3.45",3,0.437799358411572,0.390177957237786,0.479731383777417,450,NA,NA,NA,NA
"...184",4,0.133658399792848,0.114221202216264,0.153791162144506,0,NA,NA,NA,NA
"1.46",1,0.151189165074293,0.121796550323048,0.185789893703894,460,NA,NA,NA,NA
"2.46",2,0.276502546201525,0.244527556856772,0.313815649311831,460,NA,NA,NA,NA
"3.46",3,0.437016626582452,0.389481527752345,0.478798025423869,460,NA,NA,NA,NA
"...188",4,0.13529166214173,0.115702302344627,0.155526596225851,0,NA,NA,NA,NA
"1.47",1,0.150893159850762,0.121573527639827,0.185427907929263,470,NA,NA,NA,NA
"2.47",2,0.275940110159596,0.244055457076904,0.313260303573784,470,NA,NA,NA,NA
"3.47",3,0.436224811343447,0.388806428740464,0.478060927683816,470,NA,NA,NA,NA
"...192",4,0.136941918646195,0.117186028989882,0.15742521376531,0,NA,NA,NA,NA
"1.48",1,0.1505943372208,0.121332449959659,0.185015914738789,480,NA,NA,NA,NA
"2.48",2,0.275372744207118,0.24360030092829,0.31267935797795,480,NA,NA,NA,NA
"3.48",3,0.435423987158493,0.388110599101078,0.477180309605296,480,NA,NA,NA,NA
"...196",4,0.138608931413589,0.11873166732028,0.159312064336845,0,NA,NA,NA,NA
"1.49",1,0.150292748482841,0.121052079457792,0.18460637774079,490,NA,NA,NA,NA
"2.49",2,0.274800540213767,0.243064309120012,0.312085292911007,490,NA,NA,NA,NA
"3.49",3,0.434614229264123,0.38740701841938,0.476449114289362,490,NA,NA,NA,NA
"...200",4,0.140292482039269,0.120217495964325,0.161129403067545,0,NA,NA,NA,NA
"1.50",1,0.149988437956782,0.120780813401352,0.184241011128321,500,NA,NA,NA,NA
"2.50",2,0.274223575480382,0.242537603746516,0.311471482577238,500,NA,NA,NA,NA
"3.50",3,0.433795613792674,0.386680503198603,0.475495534678725,500,NA,NA,NA,NA
"...204",4,0.141992372770162,0.121718651025695,0.163052632177415,0,NA,NA,NA,NA
