"","Policy","Copayment","individual_low","individual_high","couple_low","couple_high","Scenario","Budget_impact","ci_low","ci_high"
"230","Basic screening",1140,0,0,0,0,"Shared decision (p²)",0,0,0
"231","Pilot continuation",1140,0,0,0,0,"Individual decision",0,0,0
"232","Pilot continuation",1140,0,0,0,0,"Shared decision (p²)",0,0,0
"233","Utility-maximising",1140,0,336592.208715358,0,249076.153281386,"Individual decision",0,0,336592.208715358
"234","Utility-maximising",1140,0,336592.208715358,0,249076.153281386,"Shared decision (p²)",0,0,249076.153281386
"235","Basic screening",1170,0,0,0,0,"Individual decision",0,0,0
"236","Basic screening",1170,0,0,0,0,"Shared decision (p²)",0,0,0
"237","Pilot continuation",1170,0,0,0,0,"Individual decision",0,0,0
"238","Pilot continuation",1170,0,0,0,0,"Shared decision (p²)",0,0,0
"239","Utility-maximising",1170,0,0,0,0,"Individual decision",0,0,0
"240","Utility-maximising",1170,0,0,0,0,"Shared decision (p²)",0,0,0
"241","Basic screening",1200,0,0,0,0,"Individual decision",0,0,0
"242","Basic screening",1200,0,0,0,0,"Shared decision (p²)",0,0,0
"243","Pilot continuation",1200,0,0,0,0,"Individual decision",0,0,0
"244","Pilot continuation",1200,0,0,0,0,"Shared decision (p²)",0,0,0
"245","Utility-maximising",1200,0,0,0,0,"Individual decision",0,0,0
"246","Utility-maximising",1200,0,0,0,0,"Shared decision (p²)",0,0,0
